iter	Logloss
0	0.6754035824
1	0.6588821623
2	0.6431563468
3	0.6284296859
4	0.6163656278
5	0.6022816156
6	0.5890554978
7	0.5749990386
8	0.5615757164
9	0.5494727277
10	0.5380518696
11	0.5260613161
12	0.514890081
13	0.5043925092
14	0.4938695088
15	0.4831472456
16	0.4731360474
17	0.4639361651
18	0.4543139289
19	0.4456222103
20	0.4371505829
21	0.4291042807
22	0.4209494029
23	0.4129352289
24	0.4052808913
25	0.3977981
26	0.3913070377
27	0.385111207
28	0.3784454823
29	0.372556486
30	0.3672103097
31	0.3612804562
32	0.3557553838
33	0.3508496503
34	0.3457650775
35	0.3407645095
36	0.3358343924
37	0.3313929377
38	0.3271556313
39	0.3235805555
40	0.3193467042
41	0.3154045793
42	0.311535576
43	0.3083647631
44	0.3046551853
45	0.3006263535
46	0.2965338554
47	0.2937904229
48	0.2905696178
49	0.2870841607
50	0.2835406899
51	0.279981625
52	0.2778090481
53	0.2748904058
54	0.2722766332
55	0.2700319768
56	0.2679705734
57	0.2660131848
58	0.2628585774
59	0.2597387661
60	0.2565869436
61	0.254139385
62	0.2514574041
63	0.2496086045
64	0.2469763801
65	0.2442407203
66	0.2418748834
67	0.2401497391
68	0.2376624238
69	0.2364951039
70	0.2346616633
71	0.2325602195
72	0.2309389486
73	0.2290413565
74	0.2279467682
75	0.2263286017
76	0.2249023511
77	0.2234190167
78	0.2223561129
79	0.220601893
80	0.2188646612
81	0.2178828294
82	0.2164960557
83	0.2154685023
84	0.2137379891
85	0.2124518857
86	0.2113737008
87	0.2099686462
88	0.2084575508
89	0.2073668016
90	0.2063076805
91	0.2050773396
92	0.204031958
93	0.2030666382
94	0.2024416707
95	0.2010742177
96	0.1995121535
97	0.1984428491
98	0.1969120648
99	0.1955169341
100	0.1946253924
101	0.1936863809
102	0.1926046358
103	0.1913902258
104	0.1905183854
105	0.1897346767
106	0.1888769262
107	0.1878673408
108	0.1873550293
109	0.1866275196
110	0.1853849552
111	0.1847907457
112	0.1836022237
113	0.1827665285
114	0.1817736064
115	0.1811658619
116	0.1805393601
117	0.1800619376
118	0.1794077255
119	0.1785810016
120	0.1777429332
121	0.1772303003
122	0.1764853525
123	0.1757761176
124	0.1751893665
125	0.1748039319
126	0.1740428336
127	0.1734621337
128	0.1725962096
129	0.17209913
130	0.1715155817
131	0.1707311799
132	0.1701904602
133	0.169722089
134	0.1693501382
135	0.1687688604
136	0.1682268688
137	0.1677411361
138	0.1673275032
139	0.166770022
140	0.1664566277
141	0.1655902967
142	0.164989433
143	0.16417894
144	0.1635660077
145	0.1632676882
146	0.1628457196
147	0.162577853
148	0.162301725
149	0.1619130309
150	0.1614503769
151	0.1608897642
152	0.1604272275
153	0.1599650275
154	0.1593737824
155	0.1588804931
156	0.1585942018
157	0.1582488377
158	0.1577597385
159	0.1575031197
160	0.157077092
161	0.156900986
162	0.1566991919
163	0.1564546812
164	0.156225488
165	0.1556544126
166	0.1554669933
167	0.1550976046
168	0.1547002887
169	0.1543818875
170	0.1540333186
171	0.1537322096
172	0.1532985566
173	0.1529719675
174	0.1526644263
175	0.1524949384
176	0.1522939062
177	0.1518307368
178	0.1516354724
179	0.1512147505
180	0.1509000988
181	0.1507331695
182	0.1504497846
183	0.1502816549
184	0.1498098506
185	0.1496509024
186	0.1494320944
187	0.1492784953
188	0.1491034802
189	0.1488528538
190	0.1487252988
191	0.1484341034
192	0.14828715
193	0.1480258323
194	0.1476629306
195	0.1475087649
196	0.1471720094
197	0.1470065363
198	0.1468886028
199	0.1466149093
200	0.1461892625
201	0.1460158357
202	0.1457166522
203	0.145408842
204	0.1452927221
205	0.1450465258
206	0.1449222959
207	0.1445490246
208	0.1443852086
209	0.1440921705
210	0.1439860557
211	0.143863668
212	0.143740774
213	0.1434059825
214	0.1433025625
215	0.1431136236
216	0.1428116235
217	0.1425494804
218	0.1423590544
219	0.1422469471
220	0.1421356684
221	0.1420200172
222	0.1419218571
223	0.1417429447
224	0.1414391136
225	0.1412782733
226	0.1411996935
227	0.1408803064
228	0.1406426518
229	0.140539544
230	0.1402577988
231	0.1401705376
232	0.1399368732
233	0.1397977945
234	0.1396720564
235	0.1395874143
