iter	Passed	Remaining
0	172	172189
1	200	100005
2	228	75954
3	256	63949
4	288	57354
5	316	52442
6	343	48663
7	372	46181
8	405	44612
9	434	43019
10	464	41750
11	507	41794
12	546	41471
13	577	40657
14	601	39518
15	629	38706
16	657	38012
17	694	37864
18	720	37193
19	744	36469
20	771	35971
21	796	35397
22	831	35333
23	880	35803
24	906	35364
25	931	34911
26	956	34481
27	984	34176
28	1013	33923
29	1041	33662
30	1066	33351
31	1094	33105
32	1122	32899
33	1147	32606
34	1173	32342
35	1206	32300
36	1237	32204
37	1267	32096
38	1296	31946
39	1328	31880
40	1370	32054
41	1400	31947
42	1429	31809
43	1461	31757
44	1504	31920
45	1555	32255
46	1586	32170
47	1618	32098
48	1648	31990
49	1678	31900
50	1709	31816
51	1736	31651
52	1763	31512
53	1793	31420
54	1820	31272
55	1858	31329
56	1887	31221
57	1917	31136
58	1950	31107
59	1995	31256
60	2045	31482
61	2085	31544
62	2119	31518
63	2144	31369
64	2170	31228
65	2216	31367
66	2260	31483
67	2288	31366
68	2312	31204
69	2337	31054
70	2365	30946
71	2394	30865
72	2428	30834
73	2491	31182
74	2528	31189
75	2569	31244
76	2601	31183
77	2629	31080
78	2667	31098
79	2694	30988
80	2721	30881
81	2749	30785
82	2774	30650
83	2796	30494
84	2819	30355
85	2842	30207
86	2868	30104
87	2896	30018
88	2925	29940
89	2949	29818
90	2970	29667
91	2992	29531
92	3013	29391
93	3035	29257
94	3060	29158
95	3085	29054
96	3111	28963
97	3138	28885
98	3168	28833
99	3198	28786
100	3226	28718
101	3253	28641
102	3278	28553
103	3301	28447
104	3328	28372
105	3365	28382
106	3394	28328
107	3422	28268
108	3454	28236
109	3483	28186
110	3511	28120
111	3540	28067
112	3566	27997
113	3602	27999
114	3627	27913
115	3649	27814
116	3674	27731
117	3697	27640
118	3721	27549
119	3747	27478
120	3775	27430
121	3800	27350
122	3823	27262
123	3847	27179
124	3872	27105
125	3898	27039
126	3926	26990
127	3950	26911
128	3972	26825
129	3994	26734
130	4018	26657
131	4041	26573
132	4063	26486
133	4083	26393
134	4106	26309
135	4129	26231
136	4149	26137
137	4171	26056
138	4191	25962
139	4212	25876
140	4238	25818
141	4260	25743
142	4282	25663
143	4304	25586
144	4330	25535
145	4358	25496
146	4387	25461
147	4414	25415
148	4453	25436
149	4503	25519
150	4531	25478
151	4561	25450
152	4587	25394
153	4624	25403
154	4657	25390
155	4684	25343
156	4713	25307
157	4743	25276
158	4767	25216
159	4795	25173
160	4824	25139
161	4849	25086
162	4884	25079
163	4914	25051
164	4944	25022
165	4974	24993
166	5003	24956
167	5039	24955
168	5072	24941
169	5110	24951
170	5147	24952
171	5175	24917
172	5208	24898
173	5237	24863
174	5269	24842
175	5295	24793
176	5324	24756
177	5349	24705
178	5386	24704
179	5416	24677
180	5452	24669
181	5488	24666
182	5515	24622
183	5547	24601
184	5576	24568
185	5607	24540
186	5635	24502
187	5669	24488
188	5701	24464
189	5726	24411
190	5752	24363
191	5786	24349
192	5820	24337
193	5847	24293
194	5872	24240
195	5896	24185
196	5922	24141
197	5947	24091
198	5970	24033
199	5997	23988
200	6023	23942
201	6053	23914
202	6078	23865
203	6104	23820
204	6134	23790
205	6162	23753
206	6189	23710
207	6215	23668
208	6249	23650
209	6276	23613
210	6303	23572
211	6326	23517
212	6351	23467
213	6376	23419
214	6402	23375
215	6432	23347
216	6463	23321
217	6485	23262
218	6508	23208
219	6534	23168
220	6558	23116
221	6582	23069
222	6608	23027
223	6635	22988
224	6665	22960
225	6697	22937
226	6724	22897
227	6754	22871
228	6784	22842
229	6807	22789
230	6831	22742
231	6855	22693
232	6881	22652
233	6905	22606
234	6936	22580
235	6962	22540
236	6987	22494
237	7013	22453
238	7036	22403
239	7058	22353
240	7080	22298
241	7103	22249
242	7125	22198
243	7147	22146
244	7168	22090
245	7192	22044
246	7215	21995
247	7242	21961
248	7268	21921
249	7293	21880
250	7318	21840
251	7345	21804
252	7372	21767
253	7406	21752
254	7431	21710
255	7453	21661
256	7477	21617
257	7501	21574
258	7523	21524
259	7543	21469
260	7567	21426
261	7589	21377
262	7610	21325
263	7633	21280
264	7655	21234
265	7677	21184
266	7701	21142
267	7724	21098
268	7750	21061
269	7770	21008
270	7792	20961
271	7813	20912
272	7834	20863
273	7855	20814
274	7876	20766
275	7898	20718
276	7918	20669
277	7939	20620
278	7961	20575
279	7991	20549
280	8013	20505
281	8036	20460
282	8058	20416
283	8080	20371
284	8101	20324
285	8126	20288
286	8150	20249
287	8178	20219
288	8208	20194
289	8233	20158
290	8259	20122
291	8282	20082
292	8308	20047
293	8332	20009
294	8358	19975
295	8390	19956
296	8418	19927
297	8447	19900
298	8475	19871
299	8503	19840
300	8529	19808
301	8555	19774
302	8581	19740
303	8609	19711
304	8638	19685
305	8663	19648
306	8689	19615
307	8717	19585
308	8739	19544
309	8771	19524
310	8796	19488
311	8817	19444
312	8839	19401
313	8867	19373
314	8890	19333
315	8916	19299
316	8966	19318
317	8995	19291
318	9017	19250
319	9038	19206
320	9058	19161
321	9078	19114
322	9103	19081
323	9125	19039
324	9151	19006
325	9171	18961
326	9190	18915
327	9210	18870
328	9229	18824
329	9249	18778
330	9271	18739
331	9292	18697
332	9313	18654
333	9332	18609
334	9355	18570
335	9387	18550
336	9411	18515
337	9431	18471
338	9451	18428
339	9470	18384
340	9490	18340
341	9510	18297
342	9529	18253
343	9549	18210
344	9568	18166
345	9588	18124
346	9614	18092
347	9636	18054
348	9655	18009
349	9672	17963
350	9690	17917
351	9708	17872
352	9727	17829
353	9745	17783
354	9762	17737
355	9780	17692
356	9798	17648
357	9817	17606
358	9835	17561
359	9853	17516
360	9871	17472
361	9888	17427
362	9907	17386
363	9927	17346
364	9949	17309
365	9973	17277
366	9995	17239
367	10015	17199
368	10033	17157
369	10055	17120
370	10076	17083
371	10099	17049
372	10124	17019
373	10147	16985
374	10182	16970
375	10204	16935
376	10226	16900
377	10249	16866
378	10270	16828
379	10290	16790
380	10311	16752
381	10331	16713
382	10356	16684
383	10388	16664
384	10418	16642
385	10438	16604
386	10457	16564
387	10475	16523
388	10500	16492
389	10528	16468
390	10552	16435
391	10579	16409
392	10601	16374
393	10624	16340
394	10646	16306
395	10666	16269
396	10687	16232
397	10709	16198
398	10730	16162
399	10749	16124
400	10770	16089
401	10791	16052
402	10813	16019
403	10840	15993
404	10864	15961
405	10889	15931
406	10910	15895
407	10930	15859
408	10952	15825
409	10973	15790
410	10993	15754
411	11014	15719
412	11037	15687
413	11057	15651
414	11077	15615
415	11100	15584
416	11121	15549
417	11142	15514
418	11166	15484
419	11189	15451
420	11209	15415
421	11232	15385
422	11254	15351
423	11273	15315
424	11295	15281
425	11316	15247
426	11338	15215
427	11364	15188
428	11388	15157
429	11411	15127
430	11435	15096
431	11458	15066
432	11481	15034
433	11503	15001
434	11525	14970
435	11545	14934
436	11565	14900
437	11585	14865
438	11606	14832
439	11629	14801
440	11648	14765
441	11676	14741
442	11709	14723
443	11753	14718
444	11779	14691
445	11807	14666
446	11830	14636
447	11860	14613
448	11887	14587
449	11911	14558
450	11938	14532
451	11959	14500
452	11978	14464
453	11999	14430
454	12019	14396
455	12042	14366
456	12062	14332
457	12084	14301
458	12106	14269
459	12127	14237
460	12147	14202
461	12169	14171
462	12192	14141
463	12214	14110
464	12234	14076
465	12255	14043
466	12275	14010
467	12295	13976
468	12315	13943
469	12343	13919
470	12370	13894
471	12395	13866
472	12418	13835
473	12440	13805
474	12462	13774
475	12483	13742
476	12506	13712
477	12528	13682
478	12550	13650
479	12572	13620
480	12593	13588
481	12613	13555
482	12634	13523
483	12655	13492
484	12677	13461
485	12698	13430
486	12719	13398
487	12743	13370
488	12770	13344
489	12800	13323
490	12833	13304
491	12861	13280
492	12890	13256
493	12928	13242
494	12949	13211
495	12980	13189
496	13010	13167
497	13040	13145
498	13065	13117
499	13095	13095
500	13123	13070
501	13154	13049
502	13184	13027
503	13212	13002
504	13235	12973
505	13258	12943
506	13286	12919
507	13312	12892
508	13387	12913
509	13411	12885
510	13436	12858
511	13467	12835
512	13496	12812
513	13524	12787
514	13567	12777
515	13591	12748
516	13614	12719
517	13642	12694
518	13666	12665
519	13690	12637
520	13713	12607
521	13737	12579
522	13762	12551
523	13795	12531
524	13818	12502
525	13842	12474
526	13870	12449
527	13900	12425
528	13923	12397
529	13950	12371
530	13977	12345
531	14005	12320
532	14064	12322
533	14097	12302
534	14126	12278
535	14151	12250
536	14176	12222
537	14203	12196
538	14229	12170
539	14256	12144
540	14285	12120
541	14332	12111
542	14360	12086
543	14390	12062
544	14418	12037
545	14441	12008
546	14470	11983
547	14496	11956
548	14526	11933
549	14556	11910
550	14580	11881
551	14603	11852
552	14628	11824
553	14649	11793
554	14672	11764
555	14695	11734
556	14717	11705
557	14740	11676
558	14761	11645
559	14782	11614
560	14802	11583
561	14823	11552
562	14843	11521
563	14863	11490
564	14884	11460
565	14906	11429
566	14930	11401
567	14954	11374
568	14986	11351
569	15011	11324
570	15037	11297
571	15061	11270
572	15083	11239
573	15105	11211
574	15129	11182
575	15154	11155
576	15187	11134
577	15219	11111
578	15242	11082
579	15265	11054
580	15287	11024
581	15317	11000
582	15343	10974
583	15368	10947
584	15389	10917
585	15412	10888
586	15433	10859
587	15454	10828
588	15477	10800
589	15498	10770
590	15522	10742
591	15542	10711
592	15564	10682
593	15587	10654
594	15609	10625
595	15635	10598
596	15664	10574
597	15685	10544
598	15706	10514
599	15726	10484
600	15749	10456
601	15770	10426
602	15792	10397
603	15813	10367
604	15835	10338
605	15860	10311
606	15881	10282
607	15902	10253
608	15925	10224
609	15946	10195
610	15966	10164
611	15985	10134
612	16009	10107
613	16030	10077
614	16051	10048
615	16073	10019
616	16098	9993
617	16119	9963
618	16140	9934
619	16161	9905
620	16184	9877
621	16204	9847
622	16225	9818
623	16248	9790
624	16270	9762
625	16313	9746
626	16340	9721
627	16366	9695
628	16392	9668
629	16418	9642
630	16442	9615
631	16465	9587
632	16486	9558
633	16509	9530
634	16531	9502
635	16554	9474
636	16580	9448
637	16602	9419
638	16625	9392
639	16648	9364
640	16671	9337
641	16693	9309
642	16714	9280
643	16740	9254
644	16766	9228
645	16790	9200
646	16813	9173
647	16838	9146
648	16861	9119
649	16882	9090
650	16907	9063
651	16928	9035
652	16953	9008
653	16979	8982
654	17003	8956
655	17030	8930
656	17055	8904
657	17076	8875
658	17100	8848
659	17124	8821
660	17147	8794
661	17171	8767
662	17197	8741
663	17220	8714
664	17246	8687
665	17273	8662
666	17307	8640
667	17339	8617
668	17367	8592
669	17398	8569
670	17428	8545
671	17451	8518
672	17479	8492
673	17503	8466
674	17531	8440
675	17560	8416
676	17588	8391
677	17618	8367
678	17649	8343
679	17675	8318
680	17699	8291
681	17727	8265
682	17756	8241
683	17780	8214
684	17805	8187
685	17828	8160
686	17854	8134
687	17877	8107
688	17899	8079
689	17923	8052
690	17946	8025
691	17970	7998
692	17993	7971
693	18016	7943
694	18040	7916
695	18067	7891
696	18094	7865
697	18117	7839
698	18141	7812
699	18166	7785
700	18189	7758
701	18212	7731
702	18236	7704
703	18267	7680
704	18300	7657
705	18327	7632
706	18354	7606
707	18379	7580
708	18405	7554
709	18432	7528
710	18459	7503
711	18494	7480
712	18529	7458
713	18555	7432
714	18584	7407
715	18616	7384
716	18642	7358
717	18665	7331
718	18688	7303
719	18711	7276
720	18735	7250
721	18759	7223
722	18779	7194
723	18800	7166
724	18819	7138
725	18840	7110
726	18867	7085
727	18892	7058
728	18917	7032
729	18940	7005
730	18962	6978
731	18984	6950
732	19007	6923
733	19028	6895
734	19049	6868
735	19072	6841
736	19095	6814
737	19120	6788
738	19141	6760
739	19163	6733
740	19189	6707
741	19209	6679
742	19233	6652
743	19263	6628
744	19293	6603
745	19320	6578
746	19342	6551
747	19366	6524
748	19389	6497
749	19411	6470
750	19434	6443
751	19457	6416
752	19479	6389
753	19501	6362
754	19522	6335
755	19545	6308
756	19568	6281
757	19591	6254
758	19617	6229
759	19639	6201
760	19665	6176
761	19689	6149
762	19714	6123
763	19736	6096
764	19763	6071
765	19786	6044
766	19817	6020
767	19852	5996
768	19882	5972
769	19915	5948
770	19948	5925
771	19980	5900
772	20014	5877
773	20050	5854
774	20083	5830
775	20117	5807
776	20157	5785
777	20189	5761
778	20215	5734
779	20244	5710
780	20321	5698
781	20360	5675
782	20389	5650
783	20418	5625
784	20445	5599
785	20476	5575
786	20508	5550
787	20541	5526
788	20577	5502
789	20606	5477
790	20636	5452
791	20666	5427
792	20697	5402
793	20726	5377
794	20757	5352
795	20784	5326
796	20816	5301
797	20848	5277
798	20879	5252
799	20907	5226
800	20937	5201
801	20973	5177
802	21008	5154
803	21038	5128
804	21071	5104
805	21099	5078
806	21129	5053
807	21160	5028
808	21193	5003
809	21241	4982
810	21279	4959
811	21315	4935
812	21349	4910
813	21382	4885
814	21413	4860
815	21444	4835
816	21478	4811
817	21511	4786
818	21545	4761
819	21582	4737
820	21613	4712
821	21652	4688
822	21688	4664
823	21722	4639
824	21751	4613
825	21786	4589
826	21820	4564
827	21853	4539
828	21887	4514
829	21920	4489
830	21953	4464
831	21985	4439
832	22019	4414
833	22053	4389
834	22082	4363
835	22116	4338
836	22149	4313
837	22182	4288
838	22214	4262
839	22265	4240
840	22310	4218
841	22346	4193
842	22380	4168
843	22413	4142
844	22446	4117
845	22481	4092
846	22515	4067
847	22551	4042
848	22588	4017
849	22616	3991
850	22642	3964
851	22673	3938
852	22703	3912
853	22731	3886
854	22760	3859
855	22791	3834
856	22829	3809
857	22856	3782
858	22882	3756
859	22909	3729
860	22933	3702
861	22959	3675
862	22990	3649
863	23025	3624
864	23057	3598
865	23090	3572
866	23123	3547
867	23155	3521
868	23187	3495
869	23224	3470
870	23255	3444
871	23288	3418
872	23317	3392
873	23343	3365
874	23367	3338
875	23393	3311
876	23420	3284
877	23445	3257
878	23470	3230
879	23495	3203
880	23525	3177
881	23555	3151
882	23581	3124
883	23604	3097
884	23628	3070
885	23651	3043
886	23674	3016
887	23695	2988
888	23717	2961
889	23739	2934
890	23759	2906
891	23778	2879
892	23799	2851
893	23824	2824
894	23843	2797
895	23862	2769
896	23880	2742
897	23899	2714
898	23916	2686
899	23934	2659
900	23952	2631
901	23971	2604
902	23992	2577
903	24008	2549
904	24027	2522
905	24048	2495
906	24068	2467
907	24089	2440
908	24109	2413
909	24128	2386
910	24147	2359
911	24167	2331
912	24189	2305
913	24215	2278
914	24241	2251
915	24263	2225
916	24288	2198
917	24309	2171
918	24333	2144
919	24354	2117
920	24376	2090
921	24399	2064
922	24422	2037
923	24444	2010
924	24468	1983
925	24488	1956
926	24511	1930
927	24531	1903
928	24551	1876
929	24571	1849
930	24594	1822
931	24616	1796
932	24638	1769
933	24660	1742
934	24682	1715
935	24701	1689
936	24720	1662
937	24741	1635
938	24762	1608
939	24781	1581
940	24799	1554
941	24819	1528
942	24837	1501
943	24856	1474
944	24876	1447
945	24894	1421
946	24912	1394
947	24931	1367
948	24949	1340
949	24966	1314
950	24982	1287
951	25000	1260
952	25019	1233
953	25039	1207
954	25069	1181
955	25089	1154
956	25107	1128
957	25125	1101
958	25145	1075
959	25165	1048
960	25183	1022
961	25204	995
962	25229	969
963	25251	943
964	25273	916
965	25291	890
966	25308	863
967	25325	837
968	25342	810
969	25364	784
970	25387	758
971	25406	731
972	25426	705
973	25450	679
974	25472	653
975	25492	626
976	25511	600
977	25529	574
978	25548	548
979	25566	521
980	25586	495
981	25606	469
982	25624	443
983	25640	416
984	25660	390
985	25679	364
986	25698	338
987	25716	312
988	25735	286
989	25753	260
990	25771	234
991	25789	207
992	25807	181
993	25827	155
994	25848	129
995	25867	103
996	25888	77
997	25912	51
998	25933	25
999	25953	0
